tag,mode,frame,det_ms,nav_ms,total_ms,fps,objects
yolo11tiny_1.3.1,stress,288,0.02,0.05,0.07,15085.0,0
yolo11tiny_1.3.1,stress,289,0.02,0.03,0.05,19464.72,0
yolo11tiny_1.3.1,stress,290,0.02,0.03,0.05,20442.79,0
yolo11tiny_1.3.1,stress,291,0.02,0.02,0.04,25889.97,0
yolo11tiny_1.3.1,stress,292,0.02,0.03,0.05,21505.38,0
yolo11tiny_1.3.1,stress,293,0.02,0.18,0.2,4955.6,0
yolo11tiny_1.3.1,stress,294,0.02,0.02,0.04,24464.83,0
yolo11tiny_1.3.1,stress,295,0.02,0.02,0.04,27491.41,0
yolo11tiny_1.3.1,stress,296,0.02,0.03,0.05,18306.64,0
yolo11tiny_1.3.1,stress,297,0.02,0.02,0.04,23346.49,0
yolo11tiny_1.3.1,stress,298,0.02,0.02,0.04,26402.64,0
yolo11tiny_1.3.1,stress,299,0.02,0.03,0.05,20979.31,0
yolo11tiny_1.3.1,stress,300,0.02,0.03,0.05,20851.58,0
yolo11tiny_1.3.1,stress,301,0.02,0.02,0.04,22620.34,0
yolo11tiny_1.3.1,stress,302,0.02,0.02,0.04,26001.72,0
yolo11tiny_1.3.1,stress,303,0.02,0.03,0.05,19339.37,0
yolo11tiny_1.3.1,stress,304,0.02,0.03,0.05,19370.46,0
yolo11tiny_1.3.1,stress,305,0.01,0.02,0.03,32170.89,0
yolo11tiny_1.3.1,stress,306,0.02,0.03,0.04,23188.41,0
yolo11tiny_1.3.1,stress,307,0.02,0.02,0.04,25051.98,0
yolo11tiny_1.3.1,stress,308,0.02,0.05,0.08,13093.29,0
yolo11tiny_1.3.1,stress,309,0.02,0.03,0.05,20390.69,0
yolo11tiny_1.3.1,stress,310,0.02,0.02,0.04,22284.12,0
yolo11tiny_1.3.1,stress,311,0.02,0.02,0.04,25751.29,0
yolo11tiny_1.3.1,stress,312,0.02,0.03,0.05,19308.0,0
yolo11tiny_1.3.1,stress,313,0.02,0.02,0.04,23165.84,0
yolo11tiny_1.3.1,stress,314,0.02,0.03,0.05,19032.39,0
yolo11tiny_1.3.1,stress,315,0.02,0.03,0.05,20236.36,0
yolo11tiny_1.3.1,stress,316,0.02,0.02,0.05,21621.62,0
yolo11tiny_1.3.1,stress,317,0.03,0.08,0.11,9512.49,0
yolo11tiny_1.3.1,stress,318,0.02,0.02,0.04,25641.03,0
yolo11tiny_1.3.1,stress,319,0.02,0.02,0.04,28169.01,0
yolo11tiny_1.3.1,stress,320,0.02,0.02,0.03,29020.84,0
yolo11tiny_1.3.1,stress,321,0.02,0.03,0.05,21201.26,0
yolo11tiny_1.3.1,stress,322,0.02,0.02,0.03,29483.74,0
yolo11tiny_1.3.1,stress,323,0.02,0.02,0.04,26966.53,0
yolo11tiny_1.3.1,stress,324,0.02,0.03,0.05,21220.16,0
yolo11tiny_1.3.1,stress,325,0.02,0.02,0.03,29304.03,0
yolo11tiny_1.3.1,stress,326,0.02,0.02,0.04,23483.55,0
yolo11tiny_1.3.1,stress,327,0.03,0.02,0.05,19834.97,0
yolo11tiny_1.3.1,stress,328,0.01,0.02,0.03,28776.98,0
yolo11tiny_1.3.1,stress,329,0.02,0.03,0.05,20654.33,0
yolo11tiny_1.3.1,stress,330,0.02,0.02,0.03,29232.07,0
yolo11tiny_1.3.1,stress,331,0.01,0.02,0.03,30689.91,0
yolo11tiny_1.3.1,stress,332,0.02,0.03,0.05,20304.57,0
yolo11tiny_1.3.1,stress,333,0.02,0.02,0.04,24844.72,0
yolo11tiny_1.3.1,stress,334,0.02,0.05,0.07,14354.0,0
yolo11tiny_1.3.1,stress,335,0.02,0.03,0.05,21164.02,0
yolo11tiny_1.3.1,stress,336,0.02,0.02,0.05,21505.38,0
yolo11tiny_1.3.1,stress,337,0.02,0.05,0.07,13832.79,0
yolo11tiny_1.3.1,stress,338,0.02,0.03,0.05,19215.25,0
yolo11tiny_1.3.1,stress,339,0.02,0.02,0.04,23832.79,0
yolo11tiny_1.3.1,stress,340,0.02,0.02,0.04,25316.46,0
yolo11tiny_1.3.1,stress,341,0.02,0.03,0.05,21582.89,0
yolo11tiny_1.3.1,stress,342,0.02,0.02,0.05,21719.3,0
yolo11tiny_1.3.1,stress,343,0.02,0.02,0.04,24922.12,0
yolo11tiny_1.3.1,stress,344,0.02,0.03,0.05,19818.46,0
yolo11tiny_1.3.1,stress,345,0.02,0.02,0.05,20202.02,0
yolo11tiny_1.3.1,stress,346,0.02,0.02,0.04,25806.45,0
yolo11tiny_1.3.1,stress,347,0.02,0.02,0.04,25000.0,0
yolo11tiny_1.3.1,stress,348,0.01,0.02,0.03,30456.23,0
yolo11tiny_1.3.1,stress,349,0.02,0.02,0.04,24870.67,0
yolo11tiny_1.3.1,stress,350,0.02,0.03,0.05,21409.61,0
yolo11tiny_1.3.1,stress,351,0.02,0.03,0.05,20707.36,0
yolo11tiny_1.3.1,stress,352,0.02,0.04,0.06,17582.42,0
yolo11tiny_1.3.1,stress,353,0.02,0.03,0.05,20460.36,0
yolo11tiny_1.3.1,stress,354,0.02,0.02,0.04,24242.42,0
yolo11tiny_1.3.1,stress,355,0.02,0.02,0.04,23414.82,0
yolo11tiny_1.3.1,stress,356,0.02,0.03,0.05,19801.98,0
yolo11tiny_1.3.1,stress,357,0.02,0.03,0.05,19672.26,0
yolo11tiny_1.3.1,stress,358,0.02,0.03,0.05,19277.11,0
yolo11tiny_1.3.1,stress,359,0.02,0.03,0.05,21052.63,0
yolo11tiny_1.3.1,stress,360,0.02,0.03,0.05,18882.89,0
yolo11tiny_1.3.1,stress,361,0.02,0.03,0.05,20689.8,0
yolo11tiny_1.3.1,stress,362,0.02,0.03,0.05,19200.12,0
